vector_id	matrix	row	column	f64_decimal	f32_bits	status
identity_standard_a_single	t50	0	0	0.96429567642956771	0x3f76dc15	PASS
identity_standard_a_single	t50	0	1	0	0x00000000	PASS
identity_standard_a_single	t50	0	2	0	0x00000000	PASS
identity_standard_a_single	t50	1	0	0	0x00000000	PASS
identity_standard_a_single	t50	1	1	1.0986745213549338	0x3f8ca15e	PASS
identity_standard_a_single	t50	1	2	0	0x00000000	PASS
identity_standard_a_single	t50	2	0	0	0x00000000	PASS
identity_standard_a_single	t50	2	1	0	0x00000000	PASS
identity_standard_a_single	t50	2	2	2.547012552301255	0x40230241	PASS
identity_standard_a_single	camera_to_linear_bt2020	0	0	1.5883732818550338	0x3fcb4fd1	PASS
identity_standard_a_single	camera_to_linear_bt2020	0	1	-0.43252827099588909	0xbedd7458	PASS
identity_standard_a_single	camera_to_linear_bt2020	0	2	-0.60099216106612285	0xbf19da9f	PASS
identity_standard_a_single	camera_to_linear_bt2020	1	0	-0.6582900472362313	0xbf2885b2	PASS
identity_standard_a_single	camera_to_linear_bt2020	1	1	1.8103020634864928	0x3fe7b7fa	PASS
identity_standard_a_single	camera_to_linear_bt2020	1	2	0.03264527226579416	0x3d05b70d	PASS
identity_standard_a_single	camera_to_linear_bt2020	2	0	0.028609569480775567	0x3cea5e9e	PASS
identity_standard_a_single	camera_to_linear_bt2020	2	1	-0.069135079140731526	0xbd8d96b1	PASS
identity_standard_a_single	camera_to_linear_bt2020	2	2	3.1928275030506126	0x404c5749	PASS
identity_standard_a_single	camera_to_normalized_ncl	0	0	-0.027358443412637472	0xbce01ed0	PASS
identity_standard_a_single	camera_to_normalized_ncl	0	1	1.1096599120601769	0x3f8e0956	PASS
identity_standard_a_single	camera_to_normalized_ncl	0	2	0.053587524815039284	0x3d5b7e98	PASS
identity_standard_a_single	camera_to_normalized_ncl	1	0	0.029748066808447399	0x3cf3b238	PASS
identity_standard_a_single	camera_to_normalized_ncl	1	1	-0.62655203104119706	0xbf2065b7	PASS
identity_standard_a_single	camera_to_normalized_ncl	1	2	1.6685659499498104	0x3fd59392	PASS
identity_standard_a_single	camera_to_normalized_ncl	2	0	1.095708480447356	0x3f8c402d	PASS
identity_standard_a_single	camera_to_normalized_ncl	2	1	-1.0458349267978204	0xbf85ddeb	PASS
identity_standard_a_single	camera_to_normalized_ncl	2	2	-0.44390321841934233	0xbee34748	PASS
identity_d65_single	t50	0	0	1.1049157047160671	0x3f8d6de1	PASS
identity_d65_single	t50	0	1	0	0x00000000	PASS
identity_d65_single	t50	0	2	0	0x00000000	PASS
identity_d65_single	t50	1	0	0	0x00000000	PASS
identity_d65_single	t50	1	1	1.0890577507598784	0x3f8b663f	PASS
identity_d65_single	t50	1	2	0	0x00000000	PASS
identity_d65_single	t50	2	0	0	0x00000000	PASS
identity_d65_single	t50	2	1	0	0x00000000	PASS
identity_d65_single	t50	2	2	0.82510460251046025	0x3f533a0e	PASS
identity_d65_single	camera_to_linear_bt2020	0	0	1.8200004697430723	0x3fe8f5c7	PASS
identity_d65_single	camera_to_linear_bt2020	0	1	-0.42874232249413108	0xbedb841d	PASS
identity_d65_single	camera_to_linear_bt2020	0	2	-0.19469138372338654	0xbe475d2e	PASS
identity_d65_single	camera_to_linear_bt2020	1	0	-0.75428629333144137	0xbf4118e8	PASS
identity_d65_single	camera_to_linear_bt2020	1	1	1.7944563700496092	0x3fe5b0bf	PASS
identity_d65_single	camera_to_linear_bt2020	1	2	0.010575434491823398	0x3c2d4496	PASS
identity_d65_single	camera_to_linear_bt2020	2	0	0.032781607754914899	0x3d064602	PASS
identity_d65_single	camera_to_linear_bt2020	2	1	-0.068529935230278879	0xbd8c596c	PASS
identity_d65_single	camera_to_linear_bt2020	2	2	1.0343163269489251	0x3f84647a	PASS
identity_d65_single	camera_to_normalized_ncl	0	0	-0.031348034137345729	0xbd0066cc	PASS
identity_d65_single	camera_to_normalized_ncl	0	1	1.0999469856152715	0x3f8ccb10	PASS
identity_d65_single	camera_to_normalized_ncl	0	2	0.017359676269393873	0x3c8e35e1	PASS
identity_d65_single	camera_to_normalized_ncl	1	0	0.03408612835774455	0x3d0b9de5	PASS
identity_d65_single	camera_to_normalized_ncl	1	1	-0.62106777976270333	0xbf1efe4c	PASS
